name,battery,price,color,link,backResol,ID,frontResol,rom
"
                                    【电信赠费版】三星 Galaxy S9（SM-G9608/DS）4GB+64GB 谜夜黑 移动4G+手机 双卡双待                ",3000mAh-3999mAh,5799,,//item.jd.com/6839499.html,1200万-1999万,6839499,800万-1599万,4GB
"
                                    三星 Galaxy C5（SM-C5000）4GB+32GB 枫叶金 移动联通电信4G手机 双卡双待                ",2000mAh-2999mAh,1299,"金,银,粉,灰",//item.jd.com/2868393.html,1200万-1999万,2868393,800万-1599万,4GB
"
                                    【联通赠费版】三星 Galaxy S9+（SM-G9650/DS）6GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待                ",3000mAh-3999mAh,6699,,//item.jd.com/6626042.html,1200万-1999万,6626042,800万-1599万,6GB
"
                                    【移动赠费版】三星Galaxy S8 4G+智（SM-G9508）4GB+64GB版 谜夜黑 移动联通电信4G手机 双卡双待                ",3000mAh-3999mAh,4699,,//item.jd.com/6027984.html,1200万-1999万,6027984,800万-1599万,4GB
"
                                    三星（SAMSUNG） Galaxy S7 edge(G9350) 移动联通电信4G手机 黑 全网通(4G+32G)                ",3000mAh-3999mAh,3299,"铂光金,珊瑚蓝,粉色,雪晶白,钛泽银,黑",//item.jd.com/11666199101.html,1200万-1999万,11666199101,500万-799万,4GB
"
                                    三星（SAMSUNG） C8 手机 墨玉黑 全网通版(C7100) 64GB                ",3000mAh-3999mAh,1698,"墨玉黑,枫叶金,蔷薇粉",//item.jd.com/16672063146.html,1200万-1999万,16672063146,1600万及以上,
"
                                      ,
                                    三星（SAMSUNG） 三星(SAMSUNG) S8 曲面屏5.8寸/港版/韩版/海外版 港版 双卡 全网通 兰花灰 64GB                ",3000mAh-3999mAh,3988,"港版 双卡 全网通,韩版 单卡 移动联通,海外版 双卡",//item.jd.com/1986418443.html,,1986418443,800万-1599万,4GB
"
                                      ,
                                    三星（Samsung）SM-G3818 移动3G联通电信老人机手机正品触屏大字大声智能预售 3818移动联通版-白色                ",1200mAh以下,399,"3819D电信版-白色,3819D电信版-黑色,3818移动联通版-白色,3818移动联通版-黑色",//item.jd.com/1995421823.html,,1995421823,,
"
                                    三星（SAMSUNG） Galaxy On5（G5500）移动联通双4G 智能老人机手机 香槟金 8G                ",2000mAh-2999mAh,779,"香槟金,白色",//item.jd.com/25351395680.html,500万-1199万,25351395680,500万-799万,2GB以下
"
                                      ,
                                    三星（SAMSUNG） 现货 Galaxy S8/S8+ 港版 全网通4G 双曲屏智能手机 幻紫灰 4G+64G S8港版（全网通 双卡）                ",3000mAh-3999mAh,3968,"谜夜黑 4G+64G,幻紫灰 4G+64G,枫木金 4G+64G,珊瑚蓝 4G+64G,谜夜黑6G+128G,幻紫灰6G+128G,珊瑚蓝6G+128G,瑰丽粉 4G+64G,瑰丽粉 6G+128G,醇酒红6G+128G",//item.jd.com/1986761952.html,1200万-1999万,1986761952,800万-1599万,4GB
"
                                      ,
                                    三星（SAMSUNG） S9/ S9+ 原装全新港版/韩版/海外版 智能手机 紫色 S9 港版 64GB 双卡 全网通4G                ",3000mAh-3999mAh,4599,"黑色 S9,紫色 S9,黑色 S9+,紫色 S9+,蓝色 S9+,选购商品 单拍不发  手机壳",//item.jd.com/19586647849.html,,19586647849,800万-1599万,6GB
"
                                      ,
                                    三星（SAMSUNG） 三星S9/S9+ 全网通4G 曲面屏 智能手机 S9 谜夜黑 4GB+64GB 港版                ",3000mAh-3999mAh,4899,"S9 谜夜黑,S9 夕雾紫,S9+ 谜夜黑,S9+ 夕雾紫,S9+ 莱茵蓝",//item.jd.com/25944012369.html,1200万-1999万,25944012369,800万-1599万,
"
                                    三星（SAMSUNG） 三星 Galaxy J3 （J3300 移动联通电信4G手机 金色 3GB+32GB                ",,999,"黑色,金色,蓝色",//item.jd.com/25789985324.html,1200万-1999万,25789985324,500万-799万,
"
                                      ,
                                    现货老人机 M560直板老人按键手机 大字大声电信老年机超长待机移动老人机 红色 移动联通双卡版                ",,159,"红色,金色,白色,黑色",//item.jd.com/20338978761.html,,20338978761,,
"
                                      ,
                                    三星（SAMSUNG） SAMSUNG 三星 G5700  5英寸 4G智能手机 金色 3GB+32GB                ",2000mAh-2999mAh,1450,"金色,粉色,黑色",//item.jd.com/23946496003.html,1200万-1999万,23946496003,800万-1599万,3GB
"
                                    三星（SAMSUNG） 三星 Galaxy C7 Pro 4G手机 双卡双待 全网通 蔷薇粉 4GB RAM+64GB ROM                ",3000mAh-3999mAh,1869,"枫叶金,蔷薇粉",//item.jd.com/13516283493.html,1200万-1999万,13516283493,1600万及以上,4GB
"
                                      ,
                                    三星（SAMSUNG） S8/S8+双曲屏 安卓智能手机4GB+64G/6GB+64G 幻紫灰 s8+（亚太版64G）                ",3000mAh-3999mAh,4499,"枫叶金,幻紫灰,星夜黑,雾屿蓝,亮银色,瑰蜜粉,勃艮第红",//item.jd.com/1985712874.html,1200万-1999万,1985712874,800万-1599万,4GB
"
                                      ,
                                    三星 Galaxy J3 Pro（J3110）银色 移动联通双4G手机 全新原装+正品 金色                ",2000mAh-2999mAh,899,"金色,银色",//item.jd.com/1980338876.html,,1980338876,,2GB
"
                                      ,
                                    三星（Samsung）Galaxy J7 无锁手机 16GB/32GB 5.5英寸屏幕 32G                ",3000mAh-3999mAh,2599,,//item.jd.com/1993745622.html,1200万-1999万,1993745622,500万-799万,2GB
"
                                      ,
                                    三星（SAMSUNG） 领世旗舰8 G9298 移动联通4G 双卡双待手机 黑色 4GB+64GB                ",2000mAh-2999mAh,12888,,//item.jd.com/1993797519.html,1200万-1999万,1993797519,500万-799万,4GB
"
                                      ,
                                    锐族 R2015老人机 电信2G翻盖老人手机 红色                ",,299,"红色,金色,黑色",//item.jd.com/20902840426.html,,20902840426,,
"
                                      ,
                                    三星（SAMSUNG） 三星 GALAXYJ 3Pro手机 电信4G (J3119) 流沙金 2G+16G                ",2000mAh-2999mAh,999,,//item.jd.com/23805119330.html,,23805119330,500万-799万,2GB
"
                                      ,
                                    三星（SAMSUNG）W2018 移动联通电信4G 翻盖智能商务智能手机 至尊雅金 6GB+64GB 64G                ",2000mAh-2999mAh,16399,"至尊雅金 6GB+64GB,典藏尊铂 6GB+256GB",//item.jd.com/1999785668.html,1200万-1999万,1999785668,,6GB
